_id,Size,Categories,Objects,Popularity,Durability,Price,brand
1,XXL,Camping and Hiking,lights,70,59,1064,Smartwool
2,XS,Men Clothing,socks,25,37,168,Flylow
3,M,Women Clothing,paddles,22,49,407,K2
4,XS,Water and Snow Sports,shorts,92,2,713,Gear Aid
5,M,Cycling,helmet,98,92,1475,Bogs
6,XXL,Accessories,skis,55,8,1742,Matador
7,XXL,Water and Snow Sports,socks,90,28,1025,Asolo
8,S,Women Clothing,socks,77,83,672,Astral
9,XS,Cycling,shorts,36,34,808,Gerber
10,S,Men Clothing,paddles,93,69,922,On
11,L,Women Clothing,jackets,74,98,1882,O'Neill
12,L,Accessories,paddles,99,25,951,ExOfficio
13,S,Accessories,tent,10,70,188,Smartwool
14,XS,Camping and Hiking,tent,60,79,430,Topo Designs
15,XXL,Accessories,tent,80,89,1507,Maxxis
16,XS,Men Clothing,socks,58,37,1364,Osprey
17,XS,Men Clothing,bags,72,23,1232,Carve Designs
18,XXL,Cycling,tent,73,8,102,Flylow
19,S,Camping and Hiking,tent,100,58,1471,Hydro Flask
20,XL,Accessories,books,94,61,1560,Nathan
21,S,Water and Snow Sports,boats,37,98,833,Nani Swimwear
22,M,Camping and Hiking,boats,46,85,735,Petzl
23,L,Water and Snow Sports,underwear,93,47,1051,On
24,L,Women Clothing,books,56,24,1982,microSHIFT
25,XS,Men Clothing,pants,33,39,795,Adventure Publications
26,XXL,Accessories,bags,15,34,448,Carve Designs
27,M,Women Clothing,bikes,75,62,1615,WTB
28,XS,Cycling,books,7,9,1554,Petzl
29,M,Men Clothing,kitchen,31,47,1278,XTRATUF
30,XL,Men Clothing,socks,17,79,1037,TomboyX
31,XXL,Cycling,shorts,36,39,677,Colorado Mountain Club
32,M,Water and Snow Sports,pants,59,50,1594,Therm-a-Rest
33,M,Accessories,boats,71,79,1594,Maui Jim
34,S,Cycling,underwear,14,93,657,Sherpani
35,M,Women Clothing,parts,58,6,1176,Mountain Hardwear
36,XS,Women Clothing,pants,39,56,307,Timberland
37,XL,Women Clothing,pants,76,54,302,Goal Zero
38,L,Men Clothing,lights,29,4,1743,VEJA
39,L,Cycling,socks,89,48,57,Columbia
40,L,Men Clothing,boats,45,91,1544,ethirteen
41,S,Cycling,ropes,90,90,1485,Jetboil
42,M,Camping and Hiking,tent,48,45,944,Threads 4 Thought
43,M,Camping and Hiking,underwear,24,40,262,Scarpa
44,XXL,Men Clothing,boats,23,54,593,O'Neill
45,L,Cycling,shorts,67,78,1875,Wild Country
46,S,Women Clothing,bags,41,47,1016,MRP
47,XS,Cycling,bikes,76,77,1841,Sockwell
48,XXL,Accessories,shirts,53,22,913,YETI
49,M,Camping and Hiking,socks,70,15,1102,MSR
50,XS,Men Clothing,underwear,27,8,1282,YETI
51,XXL,Water and Snow Sports,tent,50,39,790,GSI Outdoors
52,L,Accessories,socks,64,61,1819,Ruffwear
53,S,Water and Snow Sports,beds,49,91,1734,Toad&Co
54,S,Accessories,pants,8,22,1783,Kelty
55,XXL,Women Clothing,shirts,36,76,1548,Giro
56,L,Men Clothing,shirts,100,76,526,Suncloud
57,S,Accessories,bikes,45,46,741,Benchmark Maps
58,L,Camping and Hiking,boats,35,80,466,Sea to Summit
59,XXL,Men Clothing,kitchen,35,87,1605,Coghlan's
60,M,Women Clothing,books,66,22,591,Kelty
61,S,Women Clothing,lights,97,85,63,WTB
62,XS,Water and Snow Sports,socks,80,100,957,Galfer
63,XL,Cycling,tent,59,72,1403,Lantern Press
64,XL,Camping and Hiking,underwear,24,88,251,Coghlan's
65,L,Men Clothing,helmet,77,7,1089,KUHL
66,XXL,Men Clothing,beds,22,6,51,Sanuk
67,L,Women Clothing,ropes,29,88,480,UCO
68,L,Cycling,bags,13,44,403,Electra
69,S,Men Clothing,paddles,78,77,1150,Wilderness Press
70,M,Accessories,jackets,62,74,638,Swix
71,XS,Camping and Hiking,paddles,71,10,1483,Jetboil
72,S,Women Clothing,boats,100,76,1527,Eagle Creek
73,XS,Water and Snow Sports,books,31,74,605,Sharp End Publishing
74,L,Water and Snow Sports,shoes,54,41,1961,HOKA
75,XS,Camping and Hiking,bags,73,57,776,Teva
76,XL,Women Clothing,kitchen,75,1,244,Gregory
77,XXL,Accessories,books,10,46,542,Menasha Ridge Press
78,XS,Men Clothing,shoes,28,47,590,rabbit
79,XL,Accessories,bags,5,32,1466,Bontrager
80,M,Men Clothing,lights,16,4,175,Reef
81,M,Women Clothing,socks,72,89,87,AlpineAire Foods
82,XXL,Accessories,parts,12,92,383,HOKA
83,XS,Accessories,helmet,84,15,66,Teva
84,XS,Accessories,pants,47,32,1121,Trango
85,XL,Women Clothing,books,22,80,355,Terry
86,S,Men Clothing,books,99,3,551,Schwalbe
87,L,Accessories,shoes,35,55,1458,Scarpa
88,M,Men Clothing,shoes,55,23,1447,MSR
89,L,Women Clothing,beds,25,100,1359,CamelBak
90,XL,Camping and Hiking,jackets,12,9,1334,Goal Zero
91,S,Women Clothing,parts,31,88,409,Ruffwear
92,M,Camping and Hiking,shirts,11,89,1138,Topeak
93,XS,Men Clothing,underwear,22,44,578,Boulder Gear
94,L,Cycling,ropes,78,14,1545,Sherpani
95,XXL,Accessories,lights,84,95,636,Royal Robbins
96,M,Camping and Hiking,tent,4,97,1547,Picture Organic Clothing
97,XS,Women Clothing,tent,17,20,1163,humangear
98,XL,Camping and Hiking,underwear,21,20,1740,Suspenz
99,XL,Cycling,shorts,59,23,1404,Kuat
100,L,Cycling,jackets,38,64,353,Menasha Ridge Press
101,S,Women Clothing,parts,45,100,967,adidas
102,L,Water and Snow Sports,books,24,36,1709,VISSLA
103,S,Water and Snow Sports,bikes,18,35,708,Seals
104,XL,Camping and Hiking,underwear,79,90,625,Gregory
105,S,Accessories,shoes,44,76,12,Thule
106,L,Women Clothing,socks,54,9,21,ethirteen
107,M,Men Clothing,parts,81,3,802,DUER
108,XXL,Cycling,paddles,80,66,1099,Colorado Mountain Club
109,L,Water and Snow Sports,underwear,91,92,1614,Stan's NoTubes
110,M,Women Clothing,socks,88,90,645,Picture Organic Clothing
111,XS,Cycling,bags,8,40,928,Snow Peak
112,S,Water and Snow Sports,skis,41,50,358,Rapha
113,S,Camping and Hiking,bags,7,14,754,Ruffwear
114,S,Water and Snow Sports,paddles,28,27,1298,MSR
115,M,Cycling,jackets,45,16,326,Mountain Hardwear
116,L,Camping and Hiking,skis,29,30,998,Amphipod
117,S,Camping and Hiking,bags,12,83,637,Reef
118,S,Accessories,shoes,98,67,1121,Outdoor Voices
119,XXL,Men Clothing,bikes,51,16,363,Toad&Co
120,XS,Camping and Hiking,tent,81,8,603,On
121,XL,Water and Snow Sports,ropes,50,68,987,FalconGuides
122,S,Accessories,lights,22,24,855,Vittoria
123,L,Women Clothing,socks,52,7,103,Nite Ize
124,XS,Accessories,jackets,16,10,1702,Rab
125,L,Accessories,lights,31,16,187,Suspenz
126,XL,Men Clothing,socks,98,12,1287,Sea to Summit
127,XL,Accessories,shirts,77,12,212,Teravail
128,XS,Accessories,paddles,71,47,1102,Smith
129,XL,Cycling,jackets,94,61,42,Smartwool
130,XL,Water and Snow Sports,jackets,92,37,96,Saucony
131,XXL,Accessories,bags,45,21,1735,Kamik
132,XL,Accessories,underwear,70,16,819,RockShox
133,S,Cycling,paddles,58,64,467,Seals
134,M,Camping and Hiking,parts,96,46,272,ENVE
135,XL,Cycling,beds,44,2,1737,Green Trails
136,L,Men Clothing,jackets,62,35,1040,Arc'teryx
137,XXL,Cycling,underwear,17,83,43,Dansko
138,S,Water and Snow Sports,shoes,33,76,909,Nike
139,XL,Cycling,kitchen,48,95,1711,Portland Design Works
140,XS,Camping and Hiking,socks,32,60,937,Columbia
141,M,Women Clothing,paddles,31,69,1248,Altra
142,L,Men Clothing,jackets,59,36,1597,The North Face
143,XS,Women Clothing,skis,2,46,190,Wilderness Press
144,XS,Water and Snow Sports,pants,71,21,854,On
145,XS,Women Clothing,shoes,42,39,1930,Salsa
146,XS,Women Clothing,jackets,73,32,478,Teva
147,XS,Camping and Hiking,parts,21,36,596,On
148,XL,Camping and Hiking,helmet,36,61,75,Gerber
149,XXL,Accessories,shorts,47,37,1241,Toad&Co
150,M,Water and Snow Sports,kitchen,45,70,16,Race Face
